203.203883495, 197.048543689, 156.951456311, green
204.36809816, 186.34202454, 150.957055215, green
207.697324415, 188.877926421, 156.744147157, green
178.288421053, 169.729473684, 129.849473684, green
180.510365252, 182.336623889, 136.193484699, green
168.680082559, 155.205366357, 123.395252838, green
179.457002457, 172.987714988, 133.105651106, green
181.288115246, 170.677070828, 131.618247299, green
199.244720497, 186.426086957, 149.488198758, green
218.157389635, 199.921305182, 170.579654511, green
142.360917248, 127.012961117, 101.607178465, green
158.380782918, 155.138790036, 116.721530249, green
155.718338399, 147.24822695, 114.238095238, green
208.521459227, 198.524678112, 167.566523605, green
155.75284738, 151.348519362, 115.328018223, green
115.174384949, 111.003617945, 82.2684515195, green
141.735173824, 134.125766871, 102.781186094, green
128.083333333, 126.36996337, 89.6758241758, green
124.044982699, 119.650519031, 88.1479238754, green
124.223430962, 121.050209205, 88.5230125523, green
115.074008811, 105.504845815, 81.6651982379, green
119.103324349, 108.424079066, 82.380952381, green
144.904284412, 144.752051048, 103.823154057, green
149.031690141, 148.529049296, 108.467429577, green
163.12654321, 153.91872428, 116.816872428, green
149.225948808, 147.083848191, 107.211827008, green
168.618436406, 155.900816803, 119.897316219, green
172.694471387, 164.875848691, 124.141610087, green
166.202140309, 152.650416171, 118.725326992, green
164.5915628, 162.727708533, 121.737296261, green
181.550480769, 176.130608974, 147.047275641, green
130.216814159, 121.827433628, 94.6327433628, green
133.328871893, 122.2208413, 95.5191204589, green
133.69991327, 128.051170859, 98.3746747615, green
166.531671859, 157.499480789, 121.479750779, green
138.266964286, 131.128571429, 100.8375, green
140.67745098, 128.628431373, 103.529411765, green
189.057971014, 173.260869565, 138.677536232, green
150.786064769, 140.351324828, 107.918547596, green
162.826086957, 152.774125133, 119.153764581, green
143.701107011, 138.07103321, 102.651291513, green
143.885093168, 131.456521739, 105.631469979, green
178.698996656, 172.517279822, 128.624303233, green
155.137396694, 140.894628099, 108.839876033, green
214.189910979, 201.167655786, 157.924332344, green
131.989423077, 122.808653846, 93.0682692308, green
157.898058252, 147.277669903, 116.014563107, green
168.459821429, 165.929464286, 123.748214286, green
159.24853229, 147.78962818, 112.435420744, green
170.06884058, 152.5, 120.009661836, green
175.039704524, 118.44598338, 85.9529085873, blue
181.929057337, 121.763848397, 90.7667638484, blue
214.294234592, 150.073558648, 112.343936382, blue
212.791970803, 145.102189781, 108.61770073, blue
237.013143483, 183.388828039, 146.060240964, blue
176.607881773, 122.941871921, 90.4305418719, blue
201.2936871, 140.857273559, 104.784995425, blue
196.877712032, 131.945759369, 97.5098619329, blue
234.603755869, 177.131455399, 135.895774648, blue
240.333333333, 188.049348231, 146.4283054, blue
181.680965147, 121.535299374, 88.1680071492, blue
181.584858569, 122.074043261, 92.1996672213, blue
226.666666667, 147.882936508, 105.54265873, blue
228.679924242, 160.34469697, 118.051136364, blue
238.939393939, 193.184149184, 150.392773893, blue
151.497949139, 101.739130435, 74.5168170632, blue
199.887820513, 133.484775641, 97.4086538462, blue
204.916929548, 139.396424816, 107.506834911, blue
109.961722488, 53.9282296651, 33.0861244019, blue
236.187214612, 187.381278539, 144.157534247, blue
174.65026362, 119.830404218, 89.2601054482, blue
170.62522686, 116.950998185, 86.7059891107, blue
185.950405771, 122.742110009, 87.6429215509, blue
229.076666667, 165.78, 123.854444444, blue
231.652445369, 169.456815817, 130.49635796, blue
135.741013072, 91.8161764706, 68.4689542484, blue
153.284118117, 100.302474062, 71.9672785315, blue
163.699435939, 108.767123288, 76.5962933118, blue
164.413899614, 110.498069498, 80.5351351351, blue
170.709813875, 116.52284264, 86.7504230118, blue
170.468421053, 115.890225564, 83.4060150376, blue
182.240869565, 124.394782609, 94.5695652174, blue
191.931311329, 126.110615522, 92.6628010705, blue
198.743693239, 129.905146317, 97.0282542886, blue
172.008972268, 115.627243067, 87.1468189233, blue
218.287922705, 147.02705314, 105.898550725, blue
227.322513089, 161.593717277, 123.162303665, blue
201.802158273, 111.007194245, 70.273381295, blue
233.536044362, 177.207948244, 136.609057301, blue
232.236788618, 173.040650407, 134.881097561, blue
172.030632411, 113.913043478, 83.7954545455, blue
175.476754786, 119.57064722, 89.1148587056, blue
193.759425494, 136.442549372, 104.302513465, blue
208.60395189, 143.274054983, 102.816151203, blue
223.893874029, 161.867126833, 120.61691113, blue
175.380172414, 113.879310345, 80.8724137931, blue
197.638945233, 130.937119675, 97.0020283976, blue
225.000969932, 156.253152279, 114.065955383, blue
238.217264791, 188.412221145, 140.322987391, blue
233.342773438, 171.880859375, 130.166992188, blue
163.89658444, 137.882352941, 169.90512334, red
163.418648906, 134.68981922, 169.875356803, red
164.550098232, 141.394891945, 176.279960707, red
166.11862836, 137.453197405, 173.798887859, red
154.027692308, 128.68, 172.8, red
143.560693642, 119.496284063, 155.705202312, red
148.443820225, 122.441947566, 147.544007491, red
146.713768116, 123.837862319, 149.372282609, red
147.624767225, 121.241154562, 156.879888268, red
159.33935743, 131.671686747, 167.060240964, red
108.388575458, 91.0401974612, 110.871650212, red
125.574451411, 107.259404389, 123.565047022, red
118.295081967, 99.063848145, 122.946505608, red
129.958262351, 109.76746167, 129.239352641, red
144.105062082, 120.037249284, 146.003820439, red
106.307636364, 89.4996363636, 108.658181818, red
126.462014134, 104.906360424, 126.46819788, red
116.090185676, 96.66755084, 118.24668435, red
161.772942289, 135.284768212, 157.583727531, red
142.965225564, 119.120300752, 148.969924812, red
97.1570639305, 81.9605367009, 94.592738753, red
96.6094510076, 81.8895066018, 97.1389854065, red
112.483816014, 94.8117546848, 110.68483816, red
